Date,Symbols,Close,High,Low,Open,Volume
2023-06-16,BABA,92.1,94.29,91.52,94.0,25087713
2023-06-16,ETSY,94.6,96.5,93.3224,96.46,4247954
2023-06-16,SWK,90.9,92.05,89.84,91.71,2678557
2023-06-16,APPN,52.57,54.0,51.9,53.93,600607
2023-06-16,W,55.28,55.56,53.33,53.76,5112373
2023-06-16,SNAP,10.68,10.835,10.42,10.76,28859538
2023-06-15,BABA,92.2,92.77,90.6,91.46,26570478
2023-06-15,ETSY,95.97,96.65,93.37,94.42,2425100
2023-06-15,SWK,91.48,92.13,88.76,88.99,2186767
2023-06-15,APPN,53.27,53.45,51.505,51.84,394039
2023-06-15,W,53.34,54.61,51.86,52.98,4134513
2023-06-15,SNAP,10.66,10.69,9.96,9.98,30121512
2023-06-14,BABA,89.36,90.12,87.71,87.97,21519342
2023-06-14,ETSY,95.06,95.5,92.54,93.12,3067653
2023-06-14,SWK,89.09,90.9299,88.4,89.54,2964059
2023-06-14,APPN,52.5,54.26,52.16,53.91,597794
2023-06-14,W,52.73,54.35,50.85,51.64,6818157
2023-06-14,SNAP,10.25,10.3884,10.07,10.3,17098926
2023-06-13,BABA,87.51,89.22,87.25,87.96,16814142
2023-06-13,ETSY,92.84,93.51,89.85,91.26,3586550
2023-06-13,SWK,88.96,89.8,86.21,86.27,2325744
2023-06-13,APPN,53.895,54.03,49.9,50.0,580282
2023-06-13,W,51.36,52.08,49.62,52.07,9281329
2023-06-13,SNAP,10.32,10.43,10.14,10.39,17588565
2023-06-12,BABA,85.86,87.29,85.63,86.01,11575889
2023-06-12,ETSY,90.51,91.895,87.64,91.89,3499488
2023-06-12,SWK,85.31,86.75,84.25,84.99,1112779
2023-06-12,APPN,49.25,49.7,48.65,48.75,468147
2023-06-12,W,51.23,52.61,49.73,52.42,7235789
2023-06-12,SNAP,10.23,10.24,10.02,10.21,18653161
2023-06-09,BABA,85.5,86.8377,85.065,86.06,12903414
2023-06-09,ETSY,91.24,93.59,90.4,91.87,5604726
2023-06-09,SWK,84.6,86.44,84.13,86.32,1177793
2023-06-09,APPN,48.11,50.14,47.58,47.98,482059
2023-06-09,W,52.1,55.36,51.55,54.2,6960138
2023-06-09,SNAP,10.09,10.58,10.02,10.15,26631555
2023-06-08,BABA,86.14,86.95,85.17,85.17,11280953
2023-06-08,ETSY,87.56,87.9799,84.74,86.39,2715775
2023-06-08,SWK,86.33,87.14,85.17,86.43,1569368
2023-06-08,APPN,47.75,48.01,45.02,46.01,438253
2023-06-08,W,52.95,54.3799,50.35,50.41,8471596
